SampleID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	option1
GSM1956984	-113.1773712734	17.4827586483	0.580165767	45.2461566613	-41.2294317649	-25.337899649	7.8051169218	-29.2686357127	-46.3555474367	-28.2206206224	1.1049206368	-1.1860707508	-24.0391509777	11.2029357268	13.7225295996	-0.0928253604	-4.7559693799	-3.8089659776	7.928181619	-3.6663136602	31.2126323588	-11.6989497044	-22.3004302111	-23.0230365315	-5.1449688781	4.7172029047	-9.0911621576	-10.7277561411	-0.4910930909	2.1437991941	-1.4582700328	-3.5934860615	2.1780854773	5.6165229913	4.7559393218	7.90516306928279E-013	b
GSM1956985	-89.9039689651	0.3339968856	-49.9602854779	-6.5849466204	-8.5722025878	-32.9216620636	14.7852100826	-13.8544693265	-38.057064732	-3.595510794	7.4834073591	-4.3847701946	-7.1485818186	14.6922143593	-1.056348939	0.1642359929	-5.8090762312	-4.5989747968	15.9858932815	-11.1094044752	-0.3889127763	13.5110716712	21.0914660528	41.930222431	-21.9268562974	-15.2084464021	6.5535677276	11.8889740029	6.5283283667	-5.7949118305	0.6145682651	0.8507733819	-0.5868721677	8.0322067361	-6.6659499259	-3.93547160463213E-014	b
GSM1956986	-69.2317353974	97.2955870375	-63.3733588544	-34.1489800892	-57.3348566258	1.3565074558	15.4733277802	9.647662683	-9.3622469703	7.0254548904	-35.4498282677	12.3859867017	-2.9033577353	-1.3066166749	13.9334443561	1.6592077709	-1.3361796226	-2.2974460024	4.8121240404	-2.8449562893	-0.1885380991	-1.0926799908	6.4138408137	2.461423667	6.4882554677	-4.2760255953	3.1036531188	-2.4163833974	-6.9388347469	-1.222637008	8.6452770812	-2.0259621329	-2.1156267901	-47.6659227845	3.9936371347	-6.82826516683332E-013	b
GSM1956987	-65.1607034838	90.6955048166	-72.0567454753	-36.5205028321	-43.8327761124	0.9603065853	17.602758854	6.9693868618	-4.4608977169	21.2807176628	-18.919675825	13.878573404	27.2362006291	-8.4382392714	-4.8220617124	-5.3226906533	1.7618269608	0.6126147888	1.863035885	7.3070813672	3.8464016201	1.8799840421	-10.1730510326	-2.2254351232	-5.7211506132	4.7013092852	-7.8569720394	-5.3987627586	9.3295925995	-11.0327980358	-38.4417880021	23.2339813197	-9.8840092998	11.6902890188	-0.7978915143	3.68250352086874E-014	b
GSM1956988	-65.3311609368	91.2052829086	-72.742393905	-38.3395614648	-47.7892617651	1.5463287883	15.4157353534	10.3524028914	-3.7409185898	19.9172630083	-23.4069466615	13.7070193358	21.0221616409	-7.9384423331	-2.8499644425	-1.0251651777	-3.7423450729	-1.5704514445	-0.0907437024	4.0587417789	1.9326701952	0.3828896846	0.5984534058	-3.7047575158	7.5661640952	1.0012242925	-4.5945645685	3.0405694837	-4.6559606725	11.7875016411	30.714141155	-21.7715538303	12.6470801053	29.8036678469	-2.1612121962	-2.80212159899096E-013	b
GSM1956989	-205.8046605992	74.3281906162	163.7691425674	126.1441502485	-0.1784170258	-26.1800183196	-12.4598818195	13.9520869564	0.2507584282	-34.1416487102	-10.9267490973	28.7954000583	38.066387969	-8.57471565	0.7778223045	6.4854336404	-1.4156712384	6.115625113	-11.8919671659	-10.917907165	-2.6653626785	2.1991390825	2.9440558119	5.1305904376	-1.0532188207	-1.3904659733	5.6142488644	4.1004621867	0.3690570707	-1.2241570873	0.1918263121	-1.2358191408	-1.6829901994	-1.320226353	-0.6581795493	9.05384491337036E-013	b
GSM1956990	-158.008025047	50.7308695671	58.5057265535	20.9301874019	42.1490080351	-44.3034198371	-9.2747320813	42.0758295676	-1.4333229575	34.4822011558	-5.8307904308	-7.1532137368	-20.014717313	2.4358403394	1.3531710887	-4.3014317937	-2.1280112761	-0.5805341819	8.8491304312	-3.1615290408	-15.2863537832	-36.6339068815	22.7504065286	-13.2658719517	-16.8475351293	7.3317240883	-8.5935143916	-3.8653146392	-1.2317572034	-1.4243825031	-2.26685056	1.095004878	3.0948836315	3.0380935503	1.594144836	-7.42608313166956E-013	b
GSM1956991	-160.1485962241	46.7772451473	63.5354453602	25.1235990748	50.4144869503	-46.3196322538	-6.9794849212	37.335719045	0.141136927	33.3145798389	3.8786927917	-12.6586346656	-15.1768713778	-0.0533178559	-1.4163545886	-4.9667167851	5.7913770137	-5.0429770931	3.0692151831	17.7239432677	16.2202559459	34.0170425111	-25.5439573831	8.4728257091	19.1007233122	-5.082686898	2.1362587123	-0.8234617671	0.5725925847	0.9832991052	2.3515217828	-0.6437258651	-1.5001838114	-3.3298967368	-1.2784891862	1.05967025518933E-012	b
GSM1956992	-141.704996277	129.6937673657	34.4060449068	6.2247754436	-11.5620881719	45.2148305142	3.1852060142	-21.4522415637	13.8783561171	21.2563374734	12.5004651199	-16.2274738438	-10.0311967881	0.392026165	-9.685673832	-0.3289998752	-5.192312979	17.0922518494	-34.8223002614	-28.2678588842	12.2654424669	2.0380110043	-0.524300219	16.8927550385	-5.1210568324	9.267602038	-25.6532442708	-11.030550348	4.4847556675	-1.0885813036	7.6330764165	3.5154290642	-0.3217180776	-3.7325827915	-0.4127006951	7.80576991932236E-013	b
GSM1956993	-135.5931645776	131.7861296647	30.5727165085	2.5776196311	-17.4311692491	37.9277074942	4.7572794055	-21.534786248	4.8204956173	13.5530375258	-6.9705075518	-13.7230185806	-21.3096310481	-0.7446699401	11.0694229949	5.9815765593	3.7990869818	5.4346134197	-14.3471100502	-5.8589927196	-11.1633903878	-3.6791045327	-9.7504551267	-10.4140097055	-2.3926368005	-7.9957952358	43.4684276111	22.9042845658	-4.2190126232	0.4081590089	-13.8819973536	-8.5580911777	-0.179379753	7.7895314684	-0.3115174341	-1.41996874328254E-013	b
GSM1956994	-163.5457003672	136.9884916887	84.2588531378	54.6813692589	-32.6926452427	58.6941010042	3.7948123392	-38.2346007983	17.7798099443	-0.5420086056	16.8107020756	-5.9356800529	-0.3663711943	0.8734319796	-6.9396104785	-4.3784377563	0.0239103382	-16.9660085873	36.6540491226	29.5477891726	-10.5949871012	3.552340708	12.7534706418	-1.8291172631	5.2687542648	-2.294311937	-9.5746147992	-5.7543609945	0.0601129124	1.0738341259	4.3016398966	5.1432037279	-0.7743960516	-0.9443327685	-0.4839697405	1.80240989234443E-012	b
GSM1956995	-122.5167239508	78.0524803078	-30.7620881081	-86.0472812518	68.1622164216	13.5040309486	-14.6015829295	7.183820085	2.7867616021	-25.1392805572	4.7543671902	-2.1223579529	5.6309179162	0.2916181239	2.9654309992	-0.9002853948	0.9095833576	-3.2915859283	3.0941447175	0.6997573922	0.6711465895	0.256856314	-8.9230853729	-7.1156967554	-6.7755665866	-1.0003704195	-28.7567356523	44.9635813274	-11.7199512274	5.8202040462	-1.6950190543	1.4569985561	-4.5148018411	-4.3301987808	3.2866660129	3.47080762568008E-013	b
